data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
01/01/2010;08:02:00;000042/2010;sem vítima;24;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
01/01/2010;04:57:00;000027/2010;sem vítima;33;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
01/01/2010;06:44:00;000035/2010;com vítima;43;BR-290/RS;Norte;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;1;0;0;0;1
01/01/2010;07:31:00;000038/2010;sem vítima;52;BR-116/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
01/01/2010;03:35:00;000024/2010;sem vítima;77;BR-290/RS;Norte;COLISÃO LATERAL;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
02/01/2010;01:16:00;000197/2010;sem vítima;5;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
02/01/2010;13:40:00;000268/2010;com vítima;11;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
02/01/2010;00:47:00;000194/2010;sem vítima;29;BR-290/RS;Norte;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
02/01/2010;01:23:00;000198/2010;com vítima;51;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0
02/01/2010;20:04:00;000344/2010;sem vítima;52;BR-290/RS;Norte;OUTROS;2;0;0;0;0;0;0;0;0;0;7;0;0;0;0
02/01/2010;18:42:00;000325/2010;sem vítima;71;BR-290/RS;Norte;ATROPELAMENTO ANIMAIS;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
03/01/2010;12:56:00;000481/2010;sem vítima;2;BR-290/RS;Sul;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
03/01/2010;15:51:00;000531/2010;sem vítima;2;BR-290/RS;Sul;COLISÃO COM OBSTÁCULO;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
03/01/2010;17:02:00;000554/2010;sem vítima;18;BR-290/RS;Norte;COLISÃO TRASEIRA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
03/01/2010;08:49:00;000426/2010;com vítima;38;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
03/01/2010;09:11:00;000429/2010;sem vítima;38;BR-290/RS;Norte;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;5;0;0;0;0
03/01/2010;18:36:00;000592/2010;com vítima;51;BR-290/RS;Norte;COLISÃO TRASEIRA;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0
03/01/2010;20:53:00;000642/2010;sem vítima;53;BR-290/RS;Norte;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
03/01/2010;13:27:00;000487/2010;sem vítima;56;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0
03/01/2010;13:26:00;000486/2010;sem vítima;65;BR-290/RS;Norte;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
03/01/2010;20:43:00;000641/2010;sem vítima;107;BR-290/RS;Norte;CAPOTAMENTO;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
04/01/2010;05:02:00;000718/2010;sem vítima;29;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
04/01/2010;15:03:00;000827/2010;sem vítima;50;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
04/01/2010;19:07:00;000863/2010;sem vítima;53;BR-290/RS;Sul;CHOQUE C/ OBJETO NA PISTA;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
04/01/2010;05:49:00;000727/2010;com vítima;63;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
04/01/2010;15:54:00;000840/2010;sem vítima;83;BR-290/RS;Norte;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
04/01/2010;12:05:00;000795/2010;sem vítima;85;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
04/01/2010;21:20:00;000884/2010;sem vítima;89;BR-290/RS;Norte;CHOQUE C/ OBJETO NA PISTA;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
04/01/2010;08:20:00;000743/2010;sem vítima;91;BR-290/RS;Norte;COLISÃO TRASEIRA;3;0;0;0;0;0;0;0;0;0;10;0;0;0;0
04/01/2010;05:28:00;000722/2010;sem vítima;112;BR-290/RS;Norte;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
05/01/2010;13:08:00;000942/2010;sem vítima;50;BR-290/RS;Sul;CAPOTAMENTO;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
05/01/2010;07:31:00;000902/2010;com vítima;92;BR-290/RS;Sul;QUEDA DE MOTO;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
05/01/2010;19:47:00;001007/2010;sem vítima;100;BR-290/RS;Norte;ENGAVETAMENTO;2;0;0;1;1;0;0;0;0;0;4;0;0;0;0
05/01/2010;17:54:00;000981/2010;sem vítima;104;BR-290/RS;Norte;COLISÃO TRASEIRA;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
06/01/2010;03:42:00;001034/2010;sem vítima;13;BR-290/RS;Norte;TOMBAMENTO;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
06/01/2010;15:47:00;001098/2010;com vítima;20;BR-290/RS;Sul;SAÍDA DE PISTA;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
