data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
09/04/2022;00:14:00;1;Sem vítima;695,000;BR-153/GO;Decrescente;Colisão frontal;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0
09/04/2022;19:24:00;43;Sem vítima;333,000;BR-414/GO;Decrescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/04/2022;09:07:00;16;Sem vítima;136,000;BR-80/GO;Decrescente;Capotamento;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
10/04/2022;16:47:00;38;Sem vítima;50,000;BR-153/GO;Decrescente;Choque;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/04/2022;00:00:00;46;Sem vítima;263,500;BR-153/GO;Crescente;Tombamento;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
11/04/2022;09:59:00;23;Sem vítima;372,500;BR-153/GO;Decrescente;Saída de pista;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
11/04/2022;21:43:00;53;Sem vítima;143,000;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
11/04/2022;22:55:00;57;Com vítima;152,000;BR-153/GO;Crescente;Atropelamento de animal;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12/04/2022;18:13:00;33;Sem vítima;418,000;BR-414/GO;Crescente;Tombamento;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12/04/2022;19:31:00;36;Com vítima;295,000;BR-153/GO;Decrescente;Atropelamento de animal;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
12/04/2022;22:47:00;46;Sem vítima;72,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
13/04/2022;00:36:00;1;Com vítima;58,000;BR-153/GO;Decrescente;Choque;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
13/04/2022;01:18:00;3;Sem vítima;125,000;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;06:48:00;12;Sem vítima;94,000;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;10:05:00;17;Sem vítima;124,000;BR-153/GO;Decrescente;Queda de moto;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;12:56:00;25;Sem vítima;187,000;BR-153/GO;Decrescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;19:59:00;45;Sem vítima;403,000;BR-414/GO;Crescente;Saída de pista;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;20:05:00;46;Sem vítima;355,000;BR-414/GO;Decrescente;Saída de pista;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/04/2022;23:53:00;57;Sem vítima;438,000;BR-414/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14/04/2022;08:50:00;15;Sem vítima;435,000;BR-414/GO;Decrescente;Colisão lateral no mesmo sentido;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14/04/2022;09:18:00;16;Com vítima;439,300;BR-414/GO;Decrescente;Colisão traseira;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
14/04/2022;14:25:00;29;Sem vítima;772,150;BR-153/GO;Crescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
14/04/2022;16:47:00;37;Sem vítima;191,000;BR-153/GO;Crescente;Capotamento;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15/04/2022;20:24:00;42;Sem vítima;316,000;BR-414/GO;Crescente;Atropelamento de animal;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/04/2022;06:22:00;3;Sem vítima;70,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16/04/2022;07:56:00;4;Com vítima;114,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
16/04/2022;11:25:00;14;Com vítima;394,000;BR-153/GO;Crescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
16/04/2022;15:19:00;23;Sem vítima;333,500;BR-153/GO;Decrescente;Capotamento;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/04/2022;21:59:00;38;Sem vítima;360,000;BR-414/GO;Crescente;Choque;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
16/04/2022;23:14:00;42;Com vítima;396,000;BR-153/GO;Crescente;Colisão traseira;2;0;0;0;0;0;0;0;0;0;1;1;0;0;0
16/04/2022;23:55:00;45;Com vítima;717,000;BR-153/GO;Decrescente;Queda de moto;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
17/04/2022;00:51:00;3;Sem vítima;72,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
17/04/2022;15:11:00;40;Sem vítima;83,000;BR-153/GO;Decrescente;Saída de pista;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
