data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
19/11/2022;11:14:00;67;AC03-ACIDENTE SEM VÍTIMA;598,415;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;1;;;;
19/11/2022;11:36:00;70;AC02-ACIDENTE COM VÍTIMA;272,273;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;0;;1;;
19/11/2022;19:56:00;132;AC03-ACIDENTE SEM VÍTIMA;1034;BR-163/MT;Norte;Colisão Traseira;1;;;;;;;;;;1;;;;
19/11/2022;23:49:00;142;AC03-ACIDENTE SEM VÍTIMA;65,129;BR-163/PA;Sul;Saida de Pista;1;;;;;;;;;;2;;;;
19/11/2022;23:14:00;143;AC03-ACIDENTE SEM VÍTIMA;517;BR-163/PA;Norte;Tombamento;;;1;;;;;;;;1;;;;
20/11/2022;15:05:00;174;AC03-ACIDENTE SEM VÍTIMA;1086,806;BR-163/MT;Sul;Capotamento;1;;;;;;;;;;1;;;;
20/11/2022;19:29:00;209;AC03-ACIDENTE SEM VÍTIMA;160,7;BR-163/PA;Norte;Saida de Pista;1;;;;;;;;;;1;;;;
21/11/2022;04:53:00;20;AC03-ACIDENTE SEM VÍTIMA;450,17;BR-163/PA;Norte;Atropelamento de Animal;1;;;;;;;;;;2;;;;
21/11/2022;15:04:00;141;AC03-ACIDENTE SEM VÍTIMA;217,287;BR-163/PA;Sul;Colisão Traseira;;;2;;;;;;;;2;;;;
22/11/2022;04:06:00;23;AC03-ACIDENTE SEM VÍTIMA;935,05;BR-163/MT;Norte;Capotamento;1;;;;;;;;;;1;;;;
22/11/2022;10:09:00;95;AC02-ACIDENTE COM VÍTIMA;130,725;BR-163/PA;Norte;Capotamento;1;;;;;1;;;;;3;2;;;
23/11/2022;15:45:00;122;AC03-ACIDENTE SEM VÍTIMA;1075,3;BR-163/MT;Norte;Tombamento;;;1;;;3;;;;;4;;;;
24/11/2022;12:41:00;111;AC02-ACIDENTE COM VÍTIMA;899,368;BR-163/MT;Norte;Colisão Frontal;1;;1;;;2;;;;;3;;;1;
24/11/2022;22:43:00;178;AC03-ACIDENTE SEM VÍTIMA;909;BR-163/MT;Norte;Atropelamento de Animal;1;;;;;;;;;;1;;;;
24/11/2022;22:53:00;180;AC03-ACIDENTE SEM VÍTIMA;666,071;BR-163/PA;Norte;Saida de Pista;1;;;;;;;;;;1;;;;
25/11/2022;01:51:00;13;AC03-ACIDENTE SEM VÍTIMA;860,472;BR-163/MT;Sul;Capotamento;1;;;;;;;;;;1;;;;
